phix,phiy,betx,bety
2.14E+01,9.04E+00,8.17E+00,1.39E+01
2.14E+01,9.04E+00,8.17E+00,1.39E+01
2.14E+01,9.05E+00,6.85E+00,1.55E+01
2.15E+01,9.07E+00,4.01E+00,1.78E+01
2.15E+01,9.08E+00,3.12E+00,1.69E+01
2.15E+01,9.08E+00,3.09E+00,1.68E+01
2.36E+01,9.28E+00,1.79E+00,7.03E+00
2.36E+01,9.28E+00,1.82E+00,6.99E+00
2.36E+01,9.30E+00,2.13E+00,6.59E+00
2.36E+01,9.30E+00,2.13E+00,6.59E+00
2.37E+01,9.31E+00,2.32E+00,6.37E+00
2.37E+01,9.33E+00,2.82E+00,5.86E+00
2.38E+01,9.36E+00,3.40E+00,5.37E+00
2.38E+01,9.36E+00,3.40E+00,5.37E+00
2.39E+01,9.55E+00,7.76E+00,3.21E+00
2.40E+01,9.68E+00,7.88E+00,3.41E+00
2.40E+01,9.70E+00,7.29E+00,3.75E+00
2.40E+01,9.74E+00,6.47E+00,4.28E+00
2.41E+01,9.81E+00,4.65E+00,5.81E+00
2.41E+01,9.81E+00,4.65E+00,5.81E+00
2.41E+01,9.85E+00,3.66E+00,6.96E+00
2.41E+01,9.85E+00,3.66E+00,6.96E+00
2.41E+01,9.86E+00,3.39E+00,7.34E+00
2.42E+01,9.88E+00,2.87E+00,8.13E+00
2.43E+01,9.90E+00,2.24E+00,9.34E+00
2.43E+01,9.90E+00,2.21E+00,9.40E+00
2.62E+01,1.00E+01,2.24E+00,2.53E+01
2.62E+01,1.00E+01,2.26E+00,2.54E+01
2.62E+01,1.00E+01,2.58E+00,2.62E+01
2.62E+01,1.00E+01,2.58E+00,2.62E+01
2.63E+01,1.01E+01,2.90E+00,2.70E+01
2.63E+01,1.01E+01,4.88E+00,2.43E+01
2.64E+01,1.01E+01,6.48E+00,2.08E+01
2.64E+01,1.01E+01,6.48E+00,2.08E+01
2.64E+01,1.01E+01,1.03E+01,1.48E+01
2.64E+01,1.01E+01,1.27E+01,1.20E+01
2.64E+01,1.01E+01,1.27E+01,1.20E+01
2.64E+01,1.01E+01,1.27E+01,1.20E+01
2.65E+01,1.02E+01,1.26E+01,1.19E+01
2.65E+01,1.02E+01,1.26E+01,1.19E+01
2.66E+01,1.03E+01,1.27E+01,1.20E+01
